machine_id,run_id,total_rows,slowdown_now_positive_rows,valid_5min_rows,invalid_5min_rows,positive_5min_rows,negative_5min_rows,positive_5min_percentage,valid_10min_rows,invalid_10min_rows,positive_10min_rows,negative_10min_rows,positive_10min_percentage
0890dcc046c079acc4de4202,1c32e36e-8e45-4887-823e-0ee6de7a5cfe,5187,19,5036,151,168,4868,3.336,4885,302,319,4566,6.5302
0890dcc046c079acc4de4202,5d46b502-68d6-4762-adf6-dfc2fa98f132,3439,115,3288,151,422,2866,12.8345,3137,302,723,2414,23.0475
0890dcc046c079acc4de4202,6835f125-a038-4092-beff-5107ae998b39,3600,9,3449,151,344,3105,9.9739,3299,301,644,2655,19.5211
0890dcc046c079acc4de4202,6ae194e7-276b-4eef-94d3-d67c6be4b535,3049,3,2898,151,153,2745,5.2795,2747,302,303,2444,11.0302
0890dcc046c079acc4de4202,795ee584-86ed-4fe5-b317-3d022b850274,5374,7,5047,327,166,4881,3.2891,4770,604,317,4453,6.6457
0890dcc046c079acc4de4202,89cdc34b-e02b-43b4-9284-144276df508a,8786,105,8484,302,256,8228,3.0174,8185,601,407,7778,4.9725
0890dcc046c079acc4de4202,90c048bb-46c5-4345-a113-d3bc37b876cb,3175,0,3024,151,0,3024,0.0,2873,302,0,2873,0.0
0890dcc046c079acc4de4202,91548461-a81c-48c6-9755-5ce04a90cc67,16,0,0,16,0,0,,0,16,0,0,
0890dcc046c079acc4de4202,aa94b19f-b5c4-474e-ba62-cf034f43347f,568,0,414,154,0,414,0.0,264,304,0,264,0.0
0890dcc046c079acc4de4202,b061a54a-3bc5-4bda-8e62-43c18a5efae6,1981,1979,1830,151,1830,0,100.0,1679,302,1679,0,100.0
0890dcc046c079acc4de4202,c3c80671-0ec8-4d3f-b82d-88838f02de24,538,536,388,150,388,0,100.0,238,300,238,0,100.0
7232bc533c21ce408d45d473,19127a70-e60c-4b47-b3e6-71e89175c174,211,45,119,92,105,14,88.2353,3,208,3,0,100.0
7232bc533c21ce408d45d473,1e11f9c7-7d25-4a5d-ae2a-f9bc6e91415d,2824,427,2190,634,839,1351,38.3105,1714,1110,917,797,53.5006
7232bc533c21ce408d45d473,5bca2646-6745-4bbb-987d-ccb0a4486506,3117,551,2405,712,895,1510,37.2141,1936,1181,905,1031,46.7459
7232bc533c21ce408d45d473,6c7905b0-5124-4d83-8709-a6176c981aec,1122,262,518,604,367,151,70.8494,266,856,266,0,100.0
7232bc533c21ce408d45d473,81d2476d-af90-434e-8518-502c7195564c,2209,380,1870,339,749,1121,40.0535,1628,581,990,638,60.8108
7232bc533c21ce408d45d473,93aafd38-c91e-42a7-b67f-90287b9dd6f7,671,145,116,555,116,0,100.0,0,671,0,0,
7232bc533c21ce408d45d473,96f661cc-1233-4539-a814-c4c352953500,758,88,247,511,144,103,58.2996,76,682,76,0,100.0
