machine_id,run_id,total_rows,rule_a_two_moderate_groups_positive_rows,rule_a_two_moderate_groups_positive_percentage,rule_b_cpu_and_ram_positive_rows,rule_b_cpu_and_ram_positive_percentage,rule_c_severe_or_two_moderate_positive_rows,rule_c_severe_or_two_moderate_positive_percentage
0890dcc046c079acc4de4202,1c32e36e-8e45-4887-823e-0ee6de7a5cfe,5187,0,0.0,0,0.0,19,0.3663
0890dcc046c079acc4de4202,5d46b502-68d6-4762-adf6-dfc2fa98f132,3439,25,0.727,0,0.0,115,3.344
0890dcc046c079acc4de4202,6835f125-a038-4092-beff-5107ae998b39,3600,9,0.25,0,0.0,9,0.25
0890dcc046c079acc4de4202,6ae194e7-276b-4eef-94d3-d67c6be4b535,3049,0,0.0,0,0.0,3,0.0984
0890dcc046c079acc4de4202,795ee584-86ed-4fe5-b317-3d022b850274,5374,0,0.0,0,0.0,7,0.1303
0890dcc046c079acc4de4202,89cdc34b-e02b-43b4-9284-144276df508a,8786,34,0.387,0,0.0,105,1.1951
0890dcc046c079acc4de4202,90c048bb-46c5-4345-a113-d3bc37b876cb,3175,0,0.0,0,0.0,0,0.0
0890dcc046c079acc4de4202,91548461-a81c-48c6-9755-5ce04a90cc67,16,0,0.0,0,0.0,0,0.0
0890dcc046c079acc4de4202,aa94b19f-b5c4-474e-ba62-cf034f43347f,568,0,0.0,0,0.0,0,0.0
0890dcc046c079acc4de4202,b061a54a-3bc5-4bda-8e62-43c18a5efae6,1981,68,3.4326,0,0.0,1979,99.899
0890dcc046c079acc4de4202,c3c80671-0ec8-4d3f-b82d-88838f02de24,538,14,2.6022,0,0.0,536,99.6283
7232bc533c21ce408d45d473,19127a70-e60c-4b47-b3e6-71e89175c174,211,0,0.0,0,0.0,45,21.327
7232bc533c21ce408d45d473,1e11f9c7-7d25-4a5d-ae2a-f9bc6e91415d,2824,40,1.4164,0,0.0,427,15.1204
7232bc533c21ce408d45d473,5bca2646-6745-4bbb-987d-ccb0a4486506,3117,59,1.8928,0,0.0,551,17.6773
7232bc533c21ce408d45d473,6c7905b0-5124-4d83-8709-a6176c981aec,1122,4,0.3565,0,0.0,262,23.3512
7232bc533c21ce408d45d473,81d2476d-af90-434e-8518-502c7195564c,2209,11,0.498,0,0.0,380,17.2024
7232bc533c21ce408d45d473,93aafd38-c91e-42a7-b67f-90287b9dd6f7,671,13,1.9374,0,0.0,145,21.6095
7232bc533c21ce408d45d473,96f661cc-1233-4539-a814-c4c352953500,758,0,0.0,0,0.0,88,11.6095
7232bc533c21ce408d45d473,adc86181-d9a4-4cf6-a8be-4be144db7799,1833,35,1.9094,0,0.0,40,2.1822
7232bc533c21ce408d45d473,b1dd3935-56dd-4497-a77e-67128988e2c9,461,10,2.1692,0,0.0,123,26.6811
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,2548,60,2.3548,0,0.0,303,11.8917
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,2642,33,1.2491,0,0.0,115,4.3528
7232bc533c21ce408d45d473,f3c83d3f-0563-4e35-aa47-2e79402b0105,2519,41,1.6276,0,0.0,201,7.9794
7232bc533c21ce408d45d473,f81f7ffe-2f6d-4479-937f-cc82e574c286,2698,51,1.8903,0,0.0,649,24.0549
7232bc533c21ce408d45d473,fac82c2e-545a-402a-80f8-3d1fccb72c68,2578,51,1.9783,0,0.0,503,19.5112
a0f8c86097e55fbfa506d057,0d3afc7b-49b0-4614-acf1-9c81f3880c3e,1,0,0.0,0,0.0,0,0.0
a0f8c86097e55fbfa506d057,0ea1d17d-9a6f-49e7-94c0-13c1f43df241,16,6,37.5,6,37.5,6,37.5
a0f8c86097e55fbfa506d057,0fc9db54-83d3-456a-b9ea-1aa8a6f66cf9,38,22,57.8947,22,57.8947,36,94.7368
a0f8c86097e55fbfa506d057,28ca5ae9-faed-4da3-8350-e2605f94aa88,8480,1202,14.1745,1082,12.7594,1488,17.5472
a0f8c86097e55fbfa506d057,2e9f4457-2a7f-4647-87ed-b86ac6343d33,377,0,0.0,0,0.0,0,0.0
a0f8c86097e55fbfa506d057,373070d1-ba59-4244-88ab-2d44a21f4983,422,0,0.0,0,0.0,2,0.4739
a0f8c86097e55fbfa506d057,4c9f7e66-830f-4c54-bfd5-f4d898f5464e,3866,2451,63.3989,2451,63.3989,2917,75.4527
a0f8c86097e55fbfa506d057,67c192c0-13a4-427a-b8e3-193c8fd99883,6904,253,3.6645,28,0.4056,253,3.6645
a0f8c86097e55fbfa506d057,70577f8e-1430-4489-8602-2096521ab84e,5895,648,10.9924,601,10.1951,743,12.6039
a0f8c86097e55fbfa506d057,baa2a6f4-7121-4bce-9c80-611ebc22ceaf,9188,262,2.8515,184,2.0026,362,3.9399
a0f8c86097e55fbfa506d057,c89dd147-c631-4848-a604-72c697e9da2b,2118,1764,83.2861,1764,83.2861,1771,83.6166
a0f8c86097e55fbfa506d057,cf6e2a7e-5b3d-4f7b-a21f-e9ffd68b5268,6123,324,5.2915,125,2.0415,479,7.823
a0f8c86097e55fbfa506d057,e4e219be-13ba-4874-aad6-93d0b6f5f289,3786,350,9.2446,314,8.2937,380,10.037
a0f8c86097e55fbfa506d057,ea7c3f9f-8a45-4892-8f21-a77488321622,642,555,86.4486,555,86.4486,555,86.4486
a0f8c86097e55fbfa506d057,ee6b8dde-602e-4c14-b533-43bcfcba11ea,7090,4260,60.0846,4245,59.8731,4364,61.5515
a0f8c86097e55fbfa506d057,f24e9c1a-f11e-405c-b663-45fa6e25c405,4000,81,2.025,0,0.0,106,2.65
a0f8c86097e55fbfa506d057,fc583c4c-4107-450e-959d-c74895b57935,7582,1501,19.7969,1389,18.3197,1982,26.1409
d588df123ac0d0ce20b112ac,00f4a034-46ce-498e-b844-f1aa52fc6800,241,13,5.3942,0,0.0,233,96.6805
d588df123ac0d0ce20b112ac,03b262cc-46f0-4837-a184-1eea22fdfdd0,2751,2,0.0727,0,0.0,2552,92.7663
d588df123ac0d0ce20b112ac,1393199e-e815-400a-82b5-841b9333dd9d,118,1,0.8475,0,0.0,53,44.9153
d588df123ac0d0ce20b112ac,1e0bd844-6541-4320-8474-1b01bab00799,311,0,0.0,0,0.0,0,0.0
d588df123ac0d0ce20b112ac,22fc3390-8d4a-4b01-b11e-c10adffcab2d,1019,0,0.0,0,0.0,0,0.0
d588df123ac0d0ce20b112ac,2941b415-f1a0-477e-8e58-f2a565d8596e,9,0,0.0,0,0.0,0,0.0
d588df123ac0d0ce20b112ac,35472c29-8dd3-49be-8d6b-1984d158745d,8425,0,0.0,0,0.0,8395,99.6439
d588df123ac0d0ce20b112ac,4397f500-a189-4953-8876-5dc623c08fc6,7,0,0.0,0,0.0,5,71.4286
d588df123ac0d0ce20b112ac,6035cb87-b9f3-4e5d-90f3-c7fea3d65d9c,1380,10,0.7246,0,0.0,795,57.6087
d588df123ac0d0ce20b112ac,6a1c86bc-1e52-4235-ac04-6d94cf1c3c5e,1124,27,2.4021,0,0.0,557,49.5552
d588df123ac0d0ce20b112ac,9753a7c0-658b-4111-8e40-d347a98a680a,455,0,0.0,0,0.0,0,0.0
d588df123ac0d0ce20b112ac,a364637b-ebf8-43fa-8bd3-e46987008b24,302,0,0.0,0,0.0,221,73.1788
d588df123ac0d0ce20b112ac,af502e6e-1657-4248-8b91-ce01c14277b9,3926,0,0.0,0,0.0,53,1.35
d588df123ac0d0ce20b112ac,bbe7c827-8a4d-4ba5-84f4-67c88a77fe20,378,0,0.0,0,0.0,40,10.582
d588df123ac0d0ce20b112ac,cb0385d1-3fc6-46f1-83c5-f7338a4e7bac,1252,1,0.0799,0,0.0,1229,98.1629
d588df123ac0d0ce20b112ac,cc2a1e74-06e7-4cb1-92cd-6b21a91f240f,474,3,0.6329,0,0.0,362,76.3713
d588df123ac0d0ce20b112ac,d44d9f05-c8e5-4414-bf88-3fb655660786,31,0,0.0,0,0.0,0,0.0
d588df123ac0d0ce20b112ac,d4a43abe-57cb-4513-b782-4b927879f358,1347,0,0.0,0,0.0,6,0.4454
d588df123ac0d0ce20b112ac,e306e14c-9612-40bb-8b61-12250414d159,89,0,0.0,0,0.0,87,97.7528
d588df123ac0d0ce20b112ac,e4d80512-c282-45fb-8d13-e4e33eebfd72,203,0,0.0,0,0.0,0,0.0
d588df123ac0d0ce20b112ac,e9728687-ec3e-4135-8582-5a86caa605eb,262,0,0.0,0,0.0,61,23.2824
d588df123ac0d0ce20b112ac,ea135741-be28-4194-9093-62c736a22b9a,102,0,0.0,0,0.0,0,0.0
d588df123ac0d0ce20b112ac,ea150f23-2252-4244-b44d-e13113a7ea81,81,0,0.0,0,0.0,79,97.5309
d588df123ac0d0ce20b112ac,f630b56e-4353-401a-bf40-5ed332d157f9,415,7,1.6867,0,0.0,330,79.5181
d588df123ac0d0ce20b112ac,f7916592-eda5-4dcd-bc07-915466c4d513,387,0,0.0,0,0.0,239,61.7571
